year,category,laureate_type,full_name,birth_year,birth_city,birth_country,gender,prize,motivation
1948,Literature,Individual,Thomas Stearns Eliot,1888,"St. Louis, MO",United States of America,Male,The Nobel Prize in Literature 1948,"""for his outstanding, pioneer contribution to present-day poetry"""
1948,Medicine,Individual,Paul Hermann MÃ¼ller,1899,Olten,Switzerland,Male,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"""
1948,Physics,Individual,Patrick Maynard Stuart Blackett,1897,London,United Kingdom,Male,The Nobel Prize in Physics 1948,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"""
1949,Chemistry,Individual,William Francis Giauque,1895,Niagara Falls,Canada,Male,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures"""
1949,Literature,Individual,William Faulkner,1897,"New Albany, MS",United States of America,Male,The Nobel Prize in Literature 1949,"""for his powerful and artistically unique contribution to the modern American novel"""
1949,Medicine,Individual,Walter Rudolf Hess,1881,Frauenfeld,Switzerland,Male,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs"""
1949,Medicine,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874,Avanca,Portugal,Male,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses"""
1949,Peace,Individual,Lord (John) Boyd Orr of Brechin,1880,Kilmaurs,Scotland,Male,The Nobel Peace Prize 1949,NA
1949,Physics,Individual,Hideki Yukawa,1907,Tokyo,Japan,Male,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
1950,Chemistry,Individual,Otto Paul Hermann Diels,1876,Hamburg,Germany,Male,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis"""
1950,Chemistry,Individual,Kurt Alder,1902,KÃ¶nigshÃ¼tte (ChorzÃ³w),Prussia (Poland),Male,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis"""
1950,Literature,Individual,Earl (Bertrand Arthur William) Russell,1872,Trelleck,United Kingdom,Male,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought"""
1950,Medicine,Individual,Edward Calvin Kendall,1886,"South Norwalk, CT",United States of America,Male,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
1950,Medicine,Individual,Tadeus Reichstein,1897,Wloclawek,Poland,Male,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
1950,Medicine,Individual,Philip Showalter Hench,1896,"Pittsburgh, PA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
1950,Peace,Individual,Ralph Bunche,1904,"Detroit, MI",United States of America,Male,The Nobel Peace Prize 1950,NA
1950,Physics,Individual,Cecil Frank Powell,1903,Tonbridge,United Kingdom,Male,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method"""
1951,Chemistry,Individual,Edwin Mattison McMillan,1907,"Redondo Beach, CA",United States of America,Male,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements"""
1951,Chemistry,Individual,Glenn Theodore Seaborg,1912,"Ishpeming, MI",United States of America,Male,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements"""
1951,Literature,Individual,PÃ¤r Fabian Lagerkvist,1891,VÃ¤xjÃ¶,Sweden,Male,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"""
1951,Medicine,Individual,Max Theiler,1899,Pretoria,South Africa,Male,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it"""
1951,Peace,Individual,LÃ©on Jouhaux,1879,Paris,France,Male,The Nobel Peace Prize 1951,NA
1951,Physics,Individual,Sir John Douglas Cockcroft,1897,Todmorden,United Kingdom,Male,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"""
1951,Physics,Individual,Ernest Thomas Sinton Walton,1903,Dungarvan,Ireland,Male,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"""
1952,Chemistry,Individual,Archer John Porter Martin,1910,London,United Kingdom,Male,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography"""
1952,Chemistry,Individual,Richard Laurence Millington Synge,1914,Liverpool,United Kingdom,Male,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography"""
1952,Literature,Individual,FranÃ§ois Mauriac,1885,Bordeaux,France,Male,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life"""
1952,Medicine,Individual,Selman Abraham Waksman,1888,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis"""
1952,Peace,Individual,Albert Schweitzer,1875,Kaysersberg,Germany (France),Male,The Nobel Peace Prize 1952,NA
1952,Physics,Individual,Felix Bloch,1905,Zurich,Switzerland,Male,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
1952,Physics,Individual,Edward Mills Purcell,1912,"Taylorville, IL",United States of America,Male,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
1953,Chemistry,Individual,Hermann Staudinger,1881,Worms,Germany,Male,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry"""
1953,Literature,Individual,Sir Winston Leonard Spencer Churchill,1874,Woodstock,United Kingdom,Male,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values"""
1953,Medicine,Individual,Hans Adolf Krebs,1900,Hildesheim,Germany,Male,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle"""
1953,Medicine,Individual,Fritz Albert Lipmann,1899,Koenigsberg (Kaliningrad),Germany (Russia),Male,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism"""
1953,Peace,Individual,George Catlett Marshall,1880,"Uniontown, PA",United States of America,Male,The Nobel Peace Prize 1953,NA
1953,Physics,Individual,Frits Zernike,1888,Amsterdam,Netherlands,Male,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope"""
1954,Chemistry,Individual,Linus Carl Pauling,1901,"Portland, OR",United States of America,Male,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances"""
1954,Literature,Individual,Ernest Miller Hemingway,1899,"Oak Park, IL",United States of America,Male,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style"""
1954,Medicine,Individual,John Franklin Enders,1897,"West Hartford, CT",United States of America,Male,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
1954,Medicine,Individual,Thomas Huckle Weller,1915,"Ann Arbor, MI",United States of America,Male,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
1954,Medicine,Individual,Frederick Chapman Robbins,1916,"Auburn, AL",United States of America,Male,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
1954,Peace,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),NA,NA,NA,NA,The Nobel Peace Prize 1954,NA
1954,Physics,Individual,Max Born,1882,Breslau (Wroclaw),Germany (Poland),Male,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"""
1954,Physics,Individual,Walther Bothe,1891,Oranienburg,Germany,Male,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith"""
1955,Chemistry,Individual,Vincent du Vigneaud,1901,"Chicago, IL",United States of America,Male,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"""
1955,Literature,Individual,HalldÃ³r Kiljan Laxness,1902,Reykjavik,Iceland,Male,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland"""
1955,Medicine,Individual,Axel Hugo Theodor Theorell,1903,LinkÃ¶ping,Sweden,Male,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes"""
1955,Physics,Individual,Willis Eugene Lamb,1913,"Los Angeles, CA",United States of America,Male,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum"""
1955,Physics,Individual,Polykarp Kusch,1911,Blankenburg,Germany,Male,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron"""
1956,Chemistry,Individual,Sir Cyril Norman Hinshelwood,1897,London,United Kingdom,Male,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions"""
1956,Chemistry,Individual,Nikolay Nikolaevich Semenov,1896,Saratov,Russia,Male,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions"""
1956,Literature,Individual,Juan RamÃ³n JimÃ©nez,1881,Moguer,Spain,Male,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"""
1956,Medicine,Individual,AndrÃ© FrÃ©dÃ©ric Cournand,1895,Paris,France,Male,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
1956,Medicine,Individual,Werner Forssmann,1904,Berlin,Germany,Male,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
1956,Medicine,Individual,Dickinson W. Richards,1895,"Orange, NJ",United States of America,Male,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
1956,Physics,Individual,William Bradford Shockley,1910,London,United Kingdom,Male,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect"""
1956,Physics,Individual,John Bardeen,1908,"Madison, WI",United States of America,Male,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect"""
1956,Physics,Individual,Walter Houser Brattain,1902,Amoy,China,Male,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect"""
1957,Chemistry,Individual,Lord (Alexander R.) Todd,1907,Glasgow,Scotland,Male,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes"""
1957,Literature,Individual,Albert Camus,1913,Mondovi,French Algeria (Algeria),Male,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"""
1957,Medicine,Individual,Daniel Bovet,1907,NeuchÃ¢tel,Switzerland,Male,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"""
1957,Peace,Individual,Lester Bowles Pearson,1897,Toronto,Canada,Male,The Nobel Peace Prize 1957,NA
1957,Physics,Individual,Chen Ning Yang,1922,"Hofei, Anhwei",China,Male,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
1957,Physics,Individual,Tsung-Dao (T.D.) Lee,1926,Shanghai,China,Male,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"""
1958,Chemistry,Individual,Frederick Sanger,1918,Rendcombe,United Kingdom,Male,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin"""
1958,Literature,Individual,Boris Leonidovich Pasternak,1890,Moscow,Russia,Male,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"""
1958,Medicine,Individual,George Wells Beadle,1903,"Wahoo, NE",United States of America,Male,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events"""
1958,Medicine,Individual,Edward Lawrie Tatum,1909,"Boulder, CO",United States of America,Male,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events"""
1958,Medicine,Individual,Joshua Lederberg,1925,"Montclair, NJ",United States of America,Male,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"""
1958,Peace,Individual,Georges Pire,1910,Dinant,Belgium,Male,The Nobel Peace Prize 1958,NA
1958,Physics,Individual,Pavel Alekseyevich Cherenkov,1904,Novaya Chigla,Russia,Male,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect"""
1958,Physics,Individual,Igor Yevgenyevich Tamm,1895,Vladivostok,Russia,Male,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect"""
1958,Physics,Individual,IlÂ´ja Mikhailovich Frank,1908,Leningrad (Saint Petersburg),Russia,Male,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect"""
1959,Chemistry,Individual,Jaroslav Heyrovsky,1890,Prague,Austria-Hungary (Czech Republic),Male,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis"""
1959,Literature,Individual,Salvatore Quasimodo,1901,Modica,Italy,Male,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"""
1959,Medicine,Individual,Severo Ochoa,1905,Luarca,Spain,Male,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
1959,Medicine,Individual,Arthur Kornberg,1918,"Brooklyn, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
1959,Peace,Individual,Philip J. Noel-Baker,1889,London,United Kingdom,Male,The Nobel Peace Prize 1959,NA
1959,Physics,Individual,Emilio Gino SegrÃ¨,1905,Tivoli,Italy,Male,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton"""
1959,Physics,Individual,Owen Chamberlain,1920,"San Francisco, CA",United States of America,Male,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton"""
1960,Chemistry,Individual,Willard Frank Libby,1908,"Grand Valley, CO",United States of America,Male,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"""
1960,Literature,Individual,Saint-John Perse,1887,Pointe-Ã -Pitre,Guadeloupe Island,Male,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"""
1960,Medicine,Individual,Sir Frank Macfarlane Burnet,1899,Traralgon,Australia,Male,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance"""
1960,Medicine,Individual,Peter Brian Medawar,1915,Rio de Janeiro,Brazil,Male,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance"""
1960,Peace,Individual,Albert John Lutuli,1898,Bulawayo,Southern Rhodesia (Zimbabwe),Male,The Nobel Peace Prize 1960,NA
1960,Physics,Individual,Donald Arthur Glaser,1926,"Cleveland, OH",United States of America,Male,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber"""
1961,Chemistry,Individual,Melvin Calvin,1911,"St. Paul, MN",United States of America,Male,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants"""
1961,Literature,Individual,Ivo Andric,1892,Dolac,Bosnia (Bosnia and Herzegovina),Male,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country"""
1961,Medicine,Individual,Georg von BÃ©kÃ©sy,1899,Budapest,Hungary,Male,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea"""
1961,Peace,Individual,Dag Hjalmar Agne Carl HammarskjÃ¶ld,1905,JÃ¶nkÃ¶ping,Sweden,Male,The Nobel Peace Prize 1961,NA
1961,Physics,Individual,Robert Hofstadter,1915,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
1961,Physics,Individual,Rudolf Ludwig MÃ¶ssbauer,1929,Munich,Germany,Male,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
1962,Chemistry,Individual,Max Ferdinand Perutz,1914,Vienna,Austria,Male,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins"""
1962,Chemistry,Individual,John Cowdery Kendrew,1917,Oxford,United Kingdom,Male,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins"""
1962,Literature,Individual,John Steinbeck,1902,"Salinas, CA",United States of America,Male,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"""
1962,Medicine,Individual,Francis Harry Compton Crick,1916,Northampton,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
1962,Medicine,Individual,James Dewey Watson,1928,"Chicago, IL",United States of America,Male,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
1962,Medicine,Individual,Maurice Hugh Frederick Wilkins,1916,Pongaroa,New Zealand,Male,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
1962,Peace,Individual,Linus Carl Pauling,1901,"Portland, OR",United States of America,Male,The Nobel Peace Prize 1962,NA
1962,Physics,Individual,Lev Davidovich Landau,1908,Baku,Russian Empire (Azerbaijan),Male,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium"""
1963,Chemistry,Individual,Karl Ziegler,1898,Helsa,Germany,Male,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers"""
1963,Chemistry,Individual,Giulio Natta,1903,Imperia,Italy,Male,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers"""
1963,Literature,Individual,Giorgos Seferis,1900,Smyrna (Izmir),Ottoman Empire (Turkey),Male,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"""
1963,Medicine,Individual,Sir John Carew Eccles,1903,Melbourne,Australia,Male,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
1963,Medicine,Individual,Alan Lloyd Hodgkin,1914,Banbury,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
1963,Medicine,Individual,Andrew Fielding Huxley,1917,Hampstead,United Kingdom,Male,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"""
1963,Peace,Organization,ComitÃ© international de la Croix Rouge (International Committee of the Red Cross),NA,NA,NA,NA,The Nobel Peace Prize 1963,NA
1963,Peace,Organization,Ligue des SociÃ©tÃ©s de la Croix-Rouge (League of Red Cross Societies),NA,NA,NA,NA,The Nobel Peace Prize 1963,NA
1963,Physics,Individual,Eugene Paul Wigner,1902,Budapest,Austria-Hungary (Hungary),Male,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"""
1963,Physics,Individual,Maria Goeppert Mayer,1906,Kattowitz (Katowice),Germany (Poland),Female,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure"""
1963,Physics,Individual,J. Hans D. Jensen,1907,Hamburg,Germany,Male,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure"""
1964,Chemistry,Individual,Dorothy Crowfoot Hodgkin,1910,Cairo,Egypt,Female,The Nobel Prize in Chemistry 1964,"""for her determinations by X-ray techniques of the structures of important biochemical substances"""
1964,Literature,Individual,Jean-Paul Sartre,1905,Paris,France,Male,The Nobel Prize in Literature 1964,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"""
1964,Medicine,Individual,Konrad Bloch,1912,Neisse (Nysa),Germany (Poland),Male,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
1964,Medicine,Individual,Feodor Lynen,1911,Munich,Germany,Male,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
1964,Peace,Individual,Martin Luther King Jr.,1929,"Atlanta, GA",United States of America,Male,The Nobel Peace Prize 1964,NA
1964,Physics,Individual,Charles Hard Townes,1915,"Greenville, SC",United States of America,Male,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
1964,Physics,Individual,Nicolay Gennadiyevich Basov,1922,Usman,Union of Soviet Socialist Republics (Russia),Male,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
1964,Physics,Individual,Aleksandr Mikhailovich Prokhorov,1916,Atherton,Australia,Male,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
1965,Chemistry,Individual,Robert Burns Woodward,1917,"Boston, MA",United States of America,Male,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis"""
1965,Literature,Individual,Mikhail Aleksandrovich Sholokhov,1905,Veshenskaya,Russia,Male,The Nobel Prize in Literature 1965,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"""
1965,Medicine,Individual,FranÃ§ois Jacob,1920,Nancy,France,Male,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
1965,Medicine,Individual,AndrÃ© Lwoff,1902,Ainay-le-ChÃ¢teau,France,Male,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
1965,Medicine,Individual,Jacques Monod,1910,Paris,France,Male,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis"""
1965,Peace,Organization,United Nations Children's Fund (UNICEF),NA,NA,NA,NA,The Nobel Peace Prize 1965,NA
1965,Physics,Individual,Sin-Itiro Tomonaga,1906,Kyoto,Japan,Male,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"""
1965,Physics,Individual,Julian Schwinger,1918,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"""
1965,Physics,Individual,Richard P. Feynman,1918,"New York, NY",United States of America,Male,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"""
1966,Chemistry,Individual,Robert S. Mulliken,1896,"Newburyport, MA",United States of America,Male,The Nobel Prize in Chemistry 1966,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"""
1966,Literature,Individual,Shmuel Yosef Agnon,1888,Buczacz (Buchach),Austria-Hungary (Ukraine),Male,The Nobel Prize in Literature 1966,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people"""
1966,Literature,Individual,Nelly Sachs,1891,Berlin,Germany,Female,The Nobel Prize in Literature 1966,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"""
1966,Medicine,Individual,Peyton Rous,1879,"Baltimore, MD",United States of America,Male,The Nobel Prize in Physiology or Medicine 1966,"""for his discovery of tumour-inducing viruses"""
1966,Medicine,Individual,Charles Brenton Huggins,1901,Halifax,Canada,Male,The Nobel Prize in Physiology or Medicine 1966,"""for his discoveries concerning hormonal treatment of prostatic cancer"""
1966,Physics,Individual,Alfred Kastler,1902,Guebwiller,Germany (France),Male,The Nobel Prize in Physics 1966,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms"""
1967,Chemistry,Individual,Manfred Eigen,1927,Bochum,Germany,Male,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
1967,Chemistry,Individual,Ronald George Wreyford Norrish,1897,Cambridge,United Kingdom,Male,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
1967,Chemistry,Individual,George Porter,1920,Stainforth,United Kingdom,Male,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
1967,Literature,Individual,Miguel Angel Asturias,1899,Guatemala City,Guatemala,Male,The Nobel Prize in Literature 1967,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"""
1967,Medicine,Individual,Ragnar Granit,1900,Helsinki,Russian Empire (Finland),Male,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
1967,Medicine,Individual,Haldan Keffer Hartline,1903,"Bloomsburg, PA",United States of America,Male,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
1967,Medicine,Individual,George Wald,1906,"New York, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
1967,Physics,Individual,Hans Albrecht Bethe,1906,Strassburg (Strasbourg),Germany (France),Male,The Nobel Prize in Physics 1967,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"""
1968,Chemistry,Individual,Lars Onsager,1903,Kristiania (Oslo),Norway,Male,The Nobel Prize in Chemistry 1968,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"""
1968,Literature,Individual,Yasunari Kawabata,1899,Osaka,Japan,Male,The Nobel Prize in Literature 1968,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"""
1968,Medicine,Individual,Robert W. Holley,1922,"Urbana, IL",United States of America,Male,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis"""
1968,Medicine,Individual,Har Gobind Khorana,1922,Raipur,India,Male,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis"""
1968,Medicine,Individual,Marshall W. Nirenberg,1927,"New York, NY",United States of America,Male,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis"""
1968,Peace,Individual,RenÃ© Cassin,1887,Bayonne,France,Male,The Nobel Peace Prize 1968,NA
1968,Physics,Individual,Luis Walter Alvarez,1911,"San Francisco, CA",United States of America,Male,The Nobel Prize in Physics 1968,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"""
